Date,time,NO2,CO,C6H6
12/6/2004,0:00:00,68.91,0.9053227719598138,2
12/6/2004,1:00:00,72.67,1.0448039114099743,3
12/6/2004,2:00:00,76.19,1.0473458381535146,3
12/6/2004,3:00:00,111.56,1.5506982028412355,3
12/6/2004,4:00:00,55.37,0.8565838938887773,1
12/6/2004,5:00:00,69.05,1.0437881011138561,2
12/6/2004,6:00:00,82.32,1.1258895984557546,3
12/6/2004,7:00:00,90.26193010325656,1.5956524574633864,6
12/6/2004,8:00:00,128.17,3.5980000000000016,15
12/6/2004,9:00:00,131.91,5.043698241406872,26
12/6/2004,10:00:00,141.35,3.6812666666666667,18
12/6/2004,11:00:00,169.17,3.1804433394460916,13
12/6/2004,12:00:00,165.31333333333333,2.761349120703439,11
12/6/2004,13:00:00,175.33,3.7457456035171863,19
12/6/2004,14:00:00,174.33,3.3006546944262776,16
12/6/2004,15:00:00,123.74973428239751,2.7120942187426538,13
12/6/2004,16:00:00,135.31,2.955658211612527,15
12/6/2004,17:00:00,128.41,3.0234000000000005,15
12/6/2004,18:00:00,145.06,3.599365787370104,18
12/6/2004,19:00:00,146.47,3.756365787370103,17
12/6/2004,20:00:00,125.561,2.788670657759507,14
12/6/2004,21:00:00,119.34526343658989,2.7394982956491947,12
12/6/2004,22:00:00,104.80595238095239,1.6694714253238727,7
12/6/2004,23:00:00,108.16928571428572,1.674764577148432,5
12/7/2004,0:00:00,94.10096505162826,1.185083834927375,5
12/7/2004,1:00:00,103.25,1.6430497644319946,5
12/7/2004,2:00:00,96.42096505162826,1.508149077190874,3
12/7/2004,3:00:00,109.2,1.6301586067101161,4
12/7/2004,4:00:00,72.85,0.9123295982993824,2
12/7/2004,5:00:00,72.21,0.9488780645443795,2
12/7/2004,6:00:00,76.764,0.9804088519830327,2
12/7/2004,7:00:00,104.95342857142856,1.6498277222603794,4
12/7/2004,8:00:00,133.33100000000002,3.035229816147082,12
12/7/2004,9:00:00,148.73,3.6970131578947365,16
12/7/2004,10:00:00,171.97,3.757016666666668,17
12/7/2004,11:00:00,186.86,4.096333333333332,19
12/7/2004,12:00:00,185.81,4.205333333333334,21
12/7/2004,13:00:00,159.97,3.4184982414068754,17
12/7/2004,14:00:00,174.24,3.25921961091414,15
12/7/2004,15:00:00,158.85,2.828040647314083,13
12/7/2004,16:00:00,129.87666666666667,2.6639871843701495,14
12/7/2004,17:00:00,127.61416666666666,2.6603148222598376,13
12/7/2004,18:00:00,125.33183333333335,2.7288882037227364,14
12/7/2004,19:00:00,137.59666666666666,2.7175223621103113,13
12/7/2004,20:00:00,113.44939515488483,2.3461894484412458,11
12/7/2004,21:00:00,125.8552913919546,2.4727973621103114,11
12/7/2004,22:00:00,125.03233333333331,2.4377499999999994,10
12/7/2004,23:00:00,103.93,1.9713601499235407,7
12/8/2004,0:00:00,102.105908302859,1.750667578980294,7
12/8/2004,1:00:00,83.8025,1.799223734056233,7
12/8/2004,2:00:00,83.3175,1.203127804423128,4
12/8/2004,3:00:00,112.1,1.7363583230281876,6
12/8/2004,4:00:00,94.55,1.9701420863309342,7
12/8/2004,5:00:00,76.17,1.063190902776647,3
12/8/2004,6:00:00,80.47,1.0864383628981922,3
12/8/2004,7:00:00,78.16,1.1438361767445828,4
12/8/2004,8:00:00,78.73,1.0703647704829786,3
12/8/2004,9:00:00,84.57096505162826,1.1476170402561445,4
12/8/2004,10:00:00,111.79096505162826,2.0868659545106407,7
12/8/2004,11:00:00,118.25490444556766,2.4275473621103107,9
12/8/2004,12:00:00,118.23369232435554,2.3502140287769784,9
12/8/2004,13:00:00,158.235,2.4990000000000006,11
12/8/2004,14:00:00,113.72952380952381,1.9876942826173858,7
12/8/2004,15:00:00,85.67892857142857,1.1854036837196913,4
12/8/2004,16:00:00,108.845,1.7770412431959193,5
12/8/2004,17:00:00,114.47,1.786343258726352,6
12/8/2004,18:00:00,149.44,2.494349120703437,10
12/8/2004,19:00:00,125.35045454545454,2.287231502841205,8
12/8/2004,20:00:00,114.01666666666668,2.9957854573484077,14
12/8/2004,21:00:00,116.39666666666668,2.634047362110309,9
12/8/2004,22:00:00,105.44666666666667,2.306207751445903,8
12/8/2004,23:00:00,105.34763171829495,2.0237564374970614,7
12/9/2004,0:00:00,96.24,1.7808304812467366,5
12/9/2004,1:00:00,71.16,1.0092084844154485,3
